Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
381_S41_L001_R1_001,381_S41_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30906759,0,151,37,72.30634094,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
381_S41_L001_R2_001,381_S41_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30906759,0,151,37,72.36337008,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
384_S219_L004_R1_001,384_S219_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46158829,0,151,38,66.01658512,151,pass,pass,fail,pass,fail,pass,pass,pass,warn,pass,fail
384_S219_L004_R2_001,384_S219_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,46158829,0,151,37,69.16162441,151,pass,pass,fail,pass,fail,pass,warn,pass,warn,pass,fail
389_S87_L002_R1_001,389_S87_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58247037,0,151,37,67.55322306,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
389_S87_L002_R2_001,389_S87_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,58247037,0,151,37,68.23369123,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
390_S131_L003_R1_001,390_S131_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41290806,0,151,37,69.85453333,151,pass,pass,warn,pass,fail,pass,pass,pass,warn,pass,fail
390_S131_L003_R2_001,390_S131_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41290806,0,151,37,71.56967965,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
393_S235_L004_R1_001,393_S235_L004_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49813100,0,151,37,69.91756562,151,pass,pass,pass,pass,fail,pass,pass,pass,warn,pass,fail
393_S235_L004_R2_001,393_S235_L004_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,49813100,0,151,36,70.68119733,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
405_S73_L002_R1_001,405_S73_L002_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30611414,0,151,36,72.9933365,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
405_S73_L002_R2_001,405_S73_L002_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,30611414,0,151,37,73.28279817,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
407_S37_L001_R1_001,407_S37_L001_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40569084,0,151,37,70.63328081,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
407_S37_L001_R2_001,407_S37_L001_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40569084,0,151,36,71.72120415,151,pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
411_S168_L003_R1_001,411_S168_L003_R1_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47962690,0,151,36,70.21370947,151,pass,pass,fail,pass,fail,pass,pass,pass,pass,pass,fail
411_S168_L003_R2_001,411_S168_L003_R2_001.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47962690,0,151,36,72.0376388,151,pass,pass,fail,pass,fail,pass,warn,pass,pass,pass,fail
