Sample,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_tile_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content
258_S75_L002_1P,258_S75_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35233627,0,30-142,36,69.75477556,140.9852335,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
258_S75_L002_2P,258_S75_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,35233627,0,30-142,36,71.36335039,140.9924115,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
260_S11_L001_1P,260_S11_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44497434,0,30-142,36,69.27050554,140.9823099,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
260_S11_L001_2P,260_S11_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,44497434,0,30-142,36,69.45572357,140.9904033,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
263_S77_L002_1P,263_S77_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41701677,0,30-142,36,69.70266035,140.9812029,pass,pass,fail,pass,warn,pass,pass,warn,warn,pass,pass
263_S77_L002_2P,263_S77_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41701677,0,30-142,36,71.54974324,140.9896948,pass,pass,fail,pass,warn,pass,pass,warn,pass,pass,pass
307_S53_L001_1P,307_S53_L001_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34765407,0,30-142,35,71.2547141,140.9730112,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
307_S53_L001_2P,307_S53_L001_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,34765407,0,30-142,35,72.23563704,140.9884632,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
311_S115_L002_1P,311_S115_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37261207,0,30-142,36,70.3912371,140.9637746,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
311_S115_L002_2P,311_S115_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,37261207,0,30-142,36,71.05866863,140.9858539,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
315_S93_L002_1P,315_S93_L002_1P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38230311,0,30-142,36,69.98239919,140.9721545,pass,pass,pass,pass,warn,pass,pass,warn,warn,pass,pass
315_S93_L002_2P,315_S93_L002_2P.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,38230311,0,30-142,36,71.10383547,140.9896724,pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,pass
